,,,,,,,,,,,latitude,longitude,group,,
,,,,,,,,,,,40.74383,-73.98888,0,,
,,,,,,,,,,,40.75713,-73.99136,0,,
,,,,,,,,,,,42.48377,-76.48738,0,,
,,,,,,,,,,,40.73745,-73.8773,0,,
,,,,,,,,,,,40.78824,-73.70271,0,,
,,,,,,,,,,,41.96939,-73.98878,0,,
,,,,,,,,,,,43.18562,-76.23026,0,,
,,,,,,,,,,,40.79567,-73.96547,0,,
,,,,,,,,,,,40.74038,-73.98409,0,,
,,,,,,,,,,,40.76309,-73.97263,0,,
,,,,,,,,,,,40.75783,-73.99123,0,,
,,,,,,,,,,,40.75072,-73.98867,0,,
,,,,,,,,,,,40.68264,-73.97594,0,,
,,,,,,,,,,,40.7618,-73.97955,0,,
,,,,,,,,,,,40.73069,-73.98308,0,,
,,,,,,,,,,,43.12783,-77.44128,0,,
,,,,,,,,,,,40.74446,-73.60758,0,,
,,,,,,,,,,,40.71125,-74.00645,0,,
,,,,,,,,,,,42.86658,-73.93273,0,,
,,,,,,,,,,,40.76471,-73.96636,0,,
,,,,,,,,,,,43.03664,-76.14065,0,,
,,,,,,,,,,,40.66452,-73.71795,0,,
,,,,,,,,,,,40.9124,-73.11732,0,,
,,,,,,,,,,,40.74915,-73.9883,0,,
,,,,,,,,,,,40.74195,-73.98081,0,,
,,,,,,,,,,,40.52179,-74.23505,0,,
,,,,,,,,,,,40.67748,-73.97294,0,,
,,,,,,,,,,,40.72635,-73.48282,0,,
,,,,,,,,,,,40.80637,-73.28865,0,,
,,,,,,,,,,,40.76184,-73.9787,0,,
,,,,,,,,,,,40.76063,-73.98717,0,,
,,,,,,,,,,,40.73492,-73.86891,0,,
,,,,,,,,,,,43.07055,-77.43971,0,,
,,,,,,,,,,,40.99014,-73.80811,0,,
,,,,,,,,,,,40.63157,-74.02757,0,,
,,,,,,,,,,,41.1441,-73.86187,0,,
,,,,,,,,,,,42.0977,-79.29118,0,,
,,,,,,,,,,,40.7451,-73.99874,0,,
,,,,,,,,,,,40.57787,-73.96113,0,,
,,,,,,,,,,,41.03213,-73.76746,0,,
,,,,,,,,,,,42.74142,-73.80833,0,,
,,,,,,,,,,,40.81963,-73.93039,0,,
,,,,,,,,,,,43.10684,-77.74644,0,,
,,,,,,,,,,,40.72083,-73.79035,0,,
,,,,,,,,,,,42.46717,-75.06509,0,,
,,,,,,,,,,,40.7471,-73.99458,0,,
,,,,,,,,,,,40.78588,-73.95092,0,,
,,,,,,,,,,,40.64846,-73.78237,0,,
,,,,,,,,,,,40.64848,-73.78195,0,,
,,,,,,,,,,,43.09742,-75.83784,0,,
,,,,,,,,,,,42.96461,-74.19067,0,,
,,,,,,,,,,,40.91369,-73.11649,0,,
,,,,,,,,,,,40.83044,-73.68845,0,,
,,,,,,,,,,,40.56947,-74.10979,0,,
,,,,,,,,,,,40.94603,-73.79542,0,,
,,,,,,,,,,,40.94577,-73.06831,0,,
,,,,,,,,,,,40.75969,-73.98524,0,,
,,,,,,,,,,,40.78014,-73.95535,0,,
,,,,,,,,,,,40.72098,-73.84737,0,,
,,,,,,,,,,,40.81644,-73.46593,0,,
,,,,,,,,,,,40.7531,-73.97951,0,,
,,,,,,,,,,,40.99074,-73.82296,0,,
,,,,,,,,,,,40.78901,-73.53653,0,,
,,,,,,,,,,,40.75247,-73.98723,0,,
,,,,,,,,,,,42.41225,-73.90004,0,,
,,,,,,,,,,,41.1547,-74.1858,0,,
,,,,,,,,,,,40.70329,-74.01412,0,,
,,,,,,,,,,,40.76703,-73.98399,0,,
,,,,,,,,,,,40.79768,-73.70001,0,,
,,,,,,,,,,,40.71881,-73.58968,0,,
,,,,,,,,,,,40.62449,-73.63953,0,,
,,,,,,,,,,,40.74115,-74.0013,0,,
,,,,,,,,,,,40.83775,-73.7017,0,,
,,,,,,,,,,,40.73744,-74.00164,0,,
,,,,,,,,,,,40.75808,-73.98888,0,,
,,,,,,,,,,,40.75489,-73.9838,0,,
,,,,,,,,,,,40.74016,-73.98697,0,,
